30, Private, 77266, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
33, Private, 139057, Masters, 14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, 0, 0, 50, United-States, >50K
36, Private, 237943, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 45, United-States, >50K
85, Private, 98611, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 3, Poland, <=50K
62, Private, 128092, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 32, United-States, <=50K
24, Private, 284317, Bachelors, 13, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 32, United-States, <=50K
48, Self-emp-inc, 185041, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 7298, 0, 50, United-States, >50K
58, Local-gov, 223214, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Self-emp-inc, 173664, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
66, Private, 269665, HS-grad, 9, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
37, Private, 121521, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 45, United-States, >50K
55, Private, 199713, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, <=50K
39, Self-emp-not-inc, 193689, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K
58, Self-emp-inc, 181974, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 99, ?, <=50K
50, Private, 485710, Doctorate, 16, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
28, Private, 185647, Some-college, 10, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
34, Private, 30673, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, <=50K
41, Federal-gov, 160467, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 1506, 0, 40, United-States, <=50K
36, Private, 186819, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 52, United-States, >50K
22, Private, 67234, HS-grad, 9, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 45, United-States, <=50K
35, Private, 30673, 12th, 8, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 84, United-States, <=50K
49, ?, 114648, 12th, 8, Divorced, ?, Other-relative, Black, Male, 0, 0, 40, United-States, <=50K
21, Private, 182117, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
64, State-gov, 222966, 7th-8th, 4, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States, <=50K
41, Private, 201495, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
52, Private, 301229, Assoc-voc, 11, Separated, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 157747, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 155382, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
48, Private, 268083, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 113987, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 216984, Some-college, 10, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female, 0, 0, 35, United-States, <=50K
51, Private, 177669, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
32, Private, 164190, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 355645, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 40, United-States, <=50K
60, ?, 134152, 9th, 5, Divorced, ?, Not-in-family, Black, Male, 0, 0, 35, United-States, <=50K
33, Private, 63079, HS-grad, 9, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 217597, HS-grad, 9, Divorced, Sales, Own-child, White, Male, 0, 0, 50, ?, <=50K
24, Private, 381895, 11th, 7, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
82, ?, 403910, HS-grad, 9, Never-married, ?, Not-in-family, White, Male, 0, 0, 3, United-States, <=50K
26, Private, 179010, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K
18, Private, 436163, 11th, 7, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 20, United-States, <=50K
34, Private, 321709, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 28, United-States, <=50K
57, Private, 153918, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 403788, HS-grad, 9, Never-married, Craft-repair, Other-relative, Black, Male, 0, 0, 40, United-States, <=50K
34, Private, 60567, 11th, 7, Divorced, Transport-moving, Unmarried, White, Male, 0, 880, 60, United-States, <=50K
71, Private, 138145, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
35, Local-gov, 79649, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
47, Private, 312088, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
50, Private, 208630, Masters, 14, Divorced, Sales, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
33, Private, 182401, 10th, 6, Never-married, Adm-clerical, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
38, Private, 32916, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, >50K
22, Private, 205940, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 265077, Assoc-voc, 11, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
59, Private, 395736, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, >50K
40, Private, 306225, HS-grad, 9, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, Japan, <=50K
28, Private, 180299, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, <=50K
39, Private, 214896, HS-grad, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 40, El-Salvador, <=50K
25, Private, 273792, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 37, United-States, <=50K
48, State-gov, 224474, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
62, Private, 271431, 9th, 5, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 42, United-States, <=50K
44, Local-gov, 150171, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
28, Federal-gov, 381789, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
62, Private, 170984, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
32, Private, 108256, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Federal-gov, 23789, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, >50K
20, Private, 176321, Some-college, 10, Never-married, Adm-clerical, Other-relative, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 260425, Assoc-acdm, 12, Separated, Tech-support, Unmarried, White, Female, 1471, 0, 32, United-States, <=50K
47, Private, 248059, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 47, United-States, >50K
60, Private, 56248, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 199763, HS-grad, 9, Separated, Protective-serv, Not-in-family, White, Male, 0, 0, 81, United-States, <=50K
18, Private, 200047, 12th, 8, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 35, United-States, <=50K
43, Private, 191712, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 1741, 40, United-States, <=50K
31, Self-emp-not-inc, 156033, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
22, Private, 173736, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
56, Private, 135458, HS-grad, 9, Divorced, Tech-support, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
41, Private, 185660, HS-grad, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 222005, HS-grad, 9, Never-married, Other-service, Other-relative, White, Male, 0, 0, 30, United-States, <=50K
42, Private, 161510, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 40, United-States, >50K
53, Local-gov, 186303, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 1887, 40, United-States, >50K
52, Local-gov, 143533, 7th-8th, 4, Never-married, Other-service, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
42, Private, 288154, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 89, United-States, >50K
48, Private, 325372, 1st-4th, 2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Portugal, <=50K
35, Private, 379959, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 168387, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 234640, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 232475, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 45, United-States, <=50K
30, Private, 205152, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 112115, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 183854, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
26, Private, 164386, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 48, United-States, <=50K
61, Private, 149620, Some-college, 10, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
45, Private, 199590, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, ?, <=50K
29, Private, 83742, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
57, Self-emp-not-inc, 65080, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
33, Private, 191335, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 50, United-States, >50K
20, Private, 227778, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 56, United-States, <=50K
26, Private, 48280, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 66304, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
23, Private, 45834, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
31, Private, 298995, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 35, United-States, <=50K
47, Private, 161950, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
61, Private, 98776, 11th, 7, Widowed, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
35, Private, 102268, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K
23, Private, 180771, 1st-4th, 2, Married-civ-spouse, Machine-op-inspct, Wife, Amer-Indian-Eskimo, Female, 0, 0, 35, Mexico, <=50K
45, Private, 265097, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 1902, 40, United-States, >50K
22, Private, 193090, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K
37, Private, 186009, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 1672, 60, United-States, <=50K
28, Private, 175262, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 109928, 11th, 7, Never-married, Sales, Own-child, Black, Female, 0, 0, 35, United-States, <=50K
37, Self-emp-not-inc, 162834, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 45, United-States, >50K
50, Private, 177896, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Private, 181372, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
40, Private, 70645, Preschool, 1, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
51, Private, 128272, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K
56, Private, 106723, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 122348, Some-college, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 35, United-States, <=50K
40, Private, 177905, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 44, United-States, >50K
22, Private, 254547, Some-college, 10, Never-married, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, Jamaica, <=50K
47, Self-emp-inc, 102308, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2415, 45, United-States, >50K
44, Private, 33105, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
30, Private, 215441, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Other, Male, 0, 0, 40, ?, <=50K
44, Local-gov, 197919, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 206139, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Private, 117849, Assoc-acdm, 12, Divorced, Sales, Own-child, White, Male, 0, 0, 44, United-States, <=50K
26, Private, 323044, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, Germany, >50K
34, Private, 90415, Assoc-voc, 11, Never-married, Tech-support, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
47, Private, 294913, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 40, United-States, >50K
36, Private, 127573, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
21, Private, 180190, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 46, United-States, <=50K
45, State-gov, 231013, Bachelors, 13, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 356015, HS-grad, 9, Separated, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 35, Hong, <=50K
33, Private, 198069, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K
58, Self-emp-not-inc, 99141, HS-grad, 9, Divorced, Farming-fishing, Unmarried, White, Female, 0, 0, 10, United-States, <=50K
31, Private, 188246, Assoc-acdm, 12, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
32, Self-emp-not-inc, 116508, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, >50K
44, Federal-gov, 38434, Bachelors, 13, Widowed, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, >50K
24, Private, 128477, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 91839, Bachelors, 13, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male, 7688, 0, 20, United-States, >50K
43, Private, 409922, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 50, United-States, >50K
49, Private, 185041, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Self-emp-not-inc, 103925, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 50, United-States, <=50K
42, Self-emp-not-inc, 34037, Bachelors, 13, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 35, United-States, <=50K
31, Private, 251659, Some-college, 10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 1485, 55, ?, >50K
19, Private, 57145, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K
41, Private, 182108, Doctorate, 16, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
51, Self-emp-inc, 213296, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 30, United-States, <=50K
51, Self-emp-inc, 28765, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
63, Private, 37792, 10th, 6, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 31, United-States, <=50K
39, Federal-gov, 232036, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Private, 33678, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
62, Without-pay, 159908, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 16, United-States, <=50K
27, Private, 176761, HS-grad, 9, Never-married, Craft-repair, Other-relative, Other, Male, 0, 0, 40, Nicaragua, <=50K
32, Private, 260954, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2042, 30, United-States, <=50K
37, Local-gov, 180342, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Local-gov, 324791, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 50, United-States, >50K
31, Private, 183801, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 43, United-States, >50K
42, Private, 204235, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 249720, Assoc-voc, 11, Married-spouse-absent, Sales, Unmarried, Black, Female, 0, 0, 32, United-States, <=50K
60, Private, 127084, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 2042, 34, United-States, <=50K
42, Local-gov, 201495, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 72, United-States, >50K
38, Private, 447346, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 36, United-States, >50K
24, Private, 206008, Assoc-acdm, 12, Never-married, Prof-specialty, Own-child, Black, Male, 0, 0, 20, United-States, <=50K
34, Private, 286020, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K
20, ?, 99891, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 30, United-States, <=50K
29, Local-gov, 169544, Some-college, 10, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 48, United-States, <=50K
90, Private, 313749, HS-grad, 9, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
55, Private, 89182, 12th, 8, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, Italy, <=50K
36, Private, 258102, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
49, Private, 255466, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
50, Private, 38795, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
17, Private, 311907, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 25, United-States, <=50K
54, Private, 171924, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, <=50K
26, Private, 164488, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 10, United-States, <=50K
44, Private, 297991, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 50, United-States, <=50K
28, Private, 478315, Bachelors, 13, Never-married, Prof-specialty, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
54, Local-gov, 34832, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
21, Private, 67804, 9th, 5, Never-married, Machine-op-inspct, Own-child, Black, Male, 0, 0, 20, United-States, <=50K
24, Private, 34568, Assoc-voc, 11, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 47151, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 56, United-States, <=50K
59, ?, 120617, Some-college, 10, Never-married, ?, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
41, Private, 318046, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 48, United-States, >50K
29, Private, 363963, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
50, Private, 92811, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 33678, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
42, Private, 66118, Some-college, 10, Divorced, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
47, Private, 160474, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 30, United-States, >50K
44, Private, 159960, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
49, Private, 242987, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Columbia, <=50K
61, Private, 232719, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
65, Local-gov, 103153, 7th-8th, 4, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1411, 40, United-States, <=50K
45, Local-gov, 162187, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, >50K
25, Private, 242464, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 111067, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 80, United-States, >50K
21, ?, 155697, 9th, 5, Never-married, ?, Own-child, White, Male, 0, 0, 42, United-States, <=50K
49, Local-gov, 106554, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, >50K
49, Private, 23776, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
51, ?, 43909, HS-grad, 9, Divorced, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
